# Omega_0                   delta_crit
1.150987240723899963e-01 1.666993437589222582e+00
1.161079788375599942e-01 1.667072088043690448e+00
1.171167745204299976e-01 1.667150022475049065e+00
1.181251198934900049e-01 1.667227254138943904e+00
1.191330234869199950e-01 1.667303795920853204e+00
1.201404935974599991e-01 1.667379660349875392e+00
1.211475382970499948e-01 1.667454859611891438e+00
1.221541654408900002e-01 1.667529405562105493e+00
1.231603826752499936e-01 1.667603309737021977e+00
1.241661974444900063e-01 1.667676583365851339e+00
1.251716170001100081e-01 1.667749237381572103e+00
1.261766484036500047e-01 1.667821282431088070e+00
1.271812985369900062e-01 1.667892728885482567e+00
1.281855741067499943e-01 1.667963586849431801e+00
1.291894816505199939e-01 1.668033866170358426e+00
1.301930275425199901e-01 1.668103576447169889e+00
1.311962179991399968e-01 1.668172727038635728e+00
1.321990590837099910e-01 1.668241327071376512e+00
1.332015567131099865e-01 1.668309385447655835e+00
1.342037166605900000e-01 1.668376910852612305e+00
1.352055445598099870e-01 1.668443911761289034e+00
1.362070459136300038e-01 1.668510396445704203e+00
1.372082260923200014e-01 1.668576372980951517e+00
1.382090903423000006e-01 1.668641849251756737e+00
1.392096437879999926e-01 1.668706832958338993e+00
1.402098914359700133e-01 1.668771331622195486e+00
1.412098381781400069e-01 1.668835352591615306e+00
1.422094887973799904e-01 1.668898903047135729e+00
1.432088479665699909e-01 1.668961990006388341e+00
1.442079202560800077e-01 1.669024620329293551e+00
1.452067101347999933e-01 1.669086800722667352e+00
1.462052219734999992e-01 1.669148537744805649e+00
1.472034600476500033e-01 1.669209837809870978e+00
1.482014285402800113e-01 1.669270707192126446e+00
1.491991315445899968e-01 1.669331152030006260e+00
1.501965730665600074e-01 1.669391178330043690e+00
1.511937570273799991e-01 1.669450791970651604e+00
1.521906872653999987e-01 1.669509998705744458e+00
1.531873675407000035e-01 1.669568804168390708e+00
1.541838015328400036e-01 1.669627213873942750e+00
1.551799928469700107e-01 1.669685233223546783e+00
1.561759450160200013e-01 1.669742867507308715e+00
1.571716614985599891e-01 1.669800121907105472e+00
1.581671456852699886e-01 1.669857001499796878e+00
1.591624008985700056e-01 1.669913511259941918e+00
1.601574303948100075e-01 1.669969656062571639e+00
1.611522373660999874e-01 1.670025440685852791e+00
1.621468249413499929e-01 1.670080869813620916e+00
1.631411961910899933e-01 1.670135948038042439e+00
1.641353541225399892e-01 1.670190679861654370e+00
1.651293016870200026e-01 1.670245069700017959e+00
1.661230417808899906e-01 1.670299121883933147e+00
1.671165772441400021e-01 1.670352840661460059e+00
1.681099108620000004e-01 1.670406230200039310e+00
1.691030453693500024e-01 1.670459294588697796e+00
1.700959834496199863e-01 1.670512037839891883e+00
1.710887277365299997e-01 1.670564463891447415e+00
1.720812808154099927e-01 1.670616576608418224e+00
1.730736452235800138e-01 1.670668379784838953e+00
1.740658234551100136e-01 1.670719877145654619e+00
1.750578179549099889e-01 1.670771072348040898e+00
1.760496311260200120e-01 1.670821968983364769e+00
1.770412653307799900e-01 1.670872570578772587e+00
1.780327228854199917e-01 1.670922880598401994e+00
1.790240060681999867e-01 1.670972902445239106e+00
1.800151171166700093e-01 1.671022639462378612e+00
1.810060582294999998e-01 1.671072094934474395e+00
1.819968315672400028e-01 1.671121272089097554e+00
1.829874392532299943e-01 1.671170174098061123e+00
1.839778833744800113e-01 1.671218804078709486e+00
1.849681659824800040e-01 1.671267165095165375e+00
1.859582890939399935e-01 1.671315260159539129e+00
1.869482546910299914e-01 1.671363092233084213e+00
1.879380647254700054e-01 1.671410664227499732e+00
1.889277211116399957e-01 1.671457979005678718e+00
1.899172257378000106e-01 1.671505039383292646e+00
1.909065804562199986e-01 1.671551848129339435e+00
1.918957870916800090e-01 1.671598407967536781e+00
1.928848474385500000e-01 1.671644721577149495e+00
1.938737632621100049e-01 1.671690791593985592e+00
1.948625362985199894e-01 1.671736620611310231e+00
1.958511682589499925e-01 1.671782211180921740e+00
1.968396608230099931e-01 1.671827565813712502e+00
1.978280156465699879e-01 1.671872686980871103e+00
1.988162343579699953e-01 1.671917577114525155e+00
1.998043185627899898e-01 1.671962238608755369e+00
2.007922698373199866e-01 1.672006673820075617e+00
2.017800897362100054e-01 1.672050885068535608e+00
2.027677797894099909e-01 1.672094874638316853e+00
2.037553415025299963e-01 1.672138644778467853e+00
2.047427763604799944e-01 1.672182197703763640e+00
2.057300858240199981e-01 1.672225535595234014e+00
2.067172713303599974e-01 1.672268660600853885e+00
2.077043342972300088e-01 1.672311574836369941e+00
2.086912761196899890e-01 1.672354280385790481e+00
2.096780981748899986e-01 1.672396779302206982e+00
2.106648018143900125e-01 1.672439073608062765e+00
2.116513883756900027e-01 1.672481165296232808e+00
2.126378591714699895e-01 1.672523056330134317e+00
2.136242154981199959e-01 1.672564748644646437e+00
2.146104586324500130e-01 1.672606244146513710e+00
2.155965898327699970e-01 1.672647544714921164e+00
2.165826103392000102e-01 1.672688652202023896e+00
2.175685213741299917e-01 1.672729568433472203e+00
2.185543241423699989e-01 1.672770295208908964e+00
2.195400198317200013e-01 1.672810834302474792e+00
2.205256096130999988e-01 1.672851187463282985e+00
2.215110946409399872e-01 1.672891356415893149e+00
2.224964760534499930e-01 1.672931342860770831e+00
2.234817549729800068e-01 1.672971148474739156e+00
2.244669325063000098e-01 1.673010774911416254e+00
2.254520097440400050e-01 1.673050223801612280e+00
2.264369877648899909e-01 1.673089496753902283e+00
2.274218676274399886e-01 1.673128595354701709e+00
2.284066503811200133e-01 1.673167521169089067e+00
2.293913370588399891e-01 1.673206275740894533e+00
2.303759286779699933e-01 1.673244860593111394e+00
2.313604262436899928e-01 1.673283277228392540e+00
2.323448307500599885e-01 1.673321527129443931e+00
2.333291431732200105e-01 1.673359611759109855e+00
2.343133644793500003e-01 1.673397532561021972e+00
2.352974956211699997e-01 1.673435290959793820e+00
2.362815375387500028e-01 1.673472888361379862e+00
2.372654911598399974e-01 1.673510326153403449e+00
2.382493573992799929e-01 1.673547605705447472e+00
2.392331371631599979e-01 1.673584728369514885e+00
2.402168313410799894e-01 1.673621695480034477e+00
2.412004408135300093e-01 1.673658508354429753e+00
2.421839664511699908e-01 1.673695168293378277e+00
2.431674091120999970e-01 1.673731676580986205e+00
2.441507696417500040e-01 1.673768034485058953e+00
2.451340488772399961e-01 1.673804243257530855e+00
2.461172476435299905e-01 1.673840304134583068e+00
2.471003667575200069e-01 1.673876218337051691e+00
2.480834070243000122e-01 1.673911987070539453e+00
2.490663692373299987e-01 1.673947611525670176e+00
2.500492541825299897e-01 1.673983092878477796e+00
2.510320626353100271e-01 1.674018432290533376e+00
2.520147953607200231e-01 1.674053630909181800e+00
2.529974531175400165e-01 1.674088689867915258e+00
2.539800366505099993e-01 1.674123610286315289e+00
2.549625466984600242e-01 1.674158393270561929e+00
2.559449839904299751e-01 1.674193039913507208e+00
2.569273492458399866e-01 1.674227551294889871e+00
2.579096431785999899e-01 1.674261928481683537e+00
2.588918664892900234e-01 1.674296172528023874e+00
2.598740198732499840e-01 1.674330284475686881e+00
2.608561040167899914e-01 1.674364265354149950e+00
2.618381195980200027e-01 1.674398116180807472e+00
2.628200672869699939e-01 1.674431837961162461e+00
2.638019477458899975e-01 1.674465431689015738e+00
2.647837616291600082e-01 1.674498898346642006e+00
2.657655095835200210e-01 1.674532238904971493e+00
2.667471922481700064e-01 1.674565454323764691e+00
2.677288102540800185e-01 1.674598545551756024e+00
2.687103642281399862e-01 1.674631513526958937e+00
2.696918547851199777e-01 1.674664359176556205e+00
2.706732825360599892e-01 1.674697083417340915e+00
2.716546480840700273e-01 1.674729687155729119e+00
2.726359520246600110e-01 1.674762171287925927e+00
2.736171949497699929e-01 1.674794536700205505e+00
2.745983774397500188e-01 1.674826784268795610e+00
2.755795000717199961e-01 1.674858914860294812e+00
2.765605634145499869e-01 1.674890929331651179e+00
2.775415680332700141e-01 1.674922828530442942e+00
2.785225144849999834e-01 1.674954613294882710e+00
2.795034033189500167e-01 1.674986284453952035e+00
2.804842350806999729e-01 1.675017842827670522e+00
2.814650103081999810e-01 1.675049289227095395e+00
2.824457295358400177e-01 1.675080624454579281e+00
2.834263932906599948e-01 1.675111849303772216e+00
2.844070020921100062e-01 1.675142964559735992e+00
2.853875564565899747e-01 1.675173970999210615e+00
2.863680568939899751e-01 1.675204869390618523e+00
2.873485039086799975e-01 1.675235660494214684e+00
2.883288979995899948e-01 1.675266345062200513e+00
2.893092396603100247e-01 1.675296923838839325e+00
2.902895293790799802e-01 1.675327397560565812e+00
2.912697676389700008e-01 1.675357766956098171e+00
2.922499549179100042e-01 1.675388032746546241e+00
2.932300916878600172e-01 1.675418195645488106e+00
2.942101784191999969e-01 1.675448256359209021e+00
2.951902155722699872e-01 1.675478215586540420e+00
2.961702036059900012e-01 1.675508074019223637e+00
2.971501429735399769e-01 1.675537832341874145e+00
2.981300341234199847e-01 1.675567491232109241e+00
2.991098774995100129e-01 1.675597051360643963e+00
3.000896735409500082e-01 1.675626513391378580e+00
3.010694226824700004e-01 1.675655877981499176e+00
3.020491253534000053e-01 1.675685145781538044e+00
3.030287819811999794e-01 1.675714317435565093e+00
3.040083929872500201e-01 1.675743393581148766e+00
3.049879587869500086e-01 1.675772374849443747e+00
3.059674797940600266e-01 1.675801261865403013e+00
3.069469564171899978e-01 1.675830055247755634e+00
3.079263890608899823e-01 1.675858755609119122e+00
3.089057781255700186e-01 1.675887363556075371e+00
3.098851240068299928e-01 1.675915879689230614e+00
3.108644270996099856e-01 1.675944304603411261e+00
3.118436877899000148e-01 1.675972638887498922e+00
3.128229064623699873e-01 1.676000883124725949e+00
3.138020835003599851e-01 1.676029037892746709e+00
3.147812192783699947e-01 1.676057103763493705e+00
3.157603141706100125e-01 1.676085081303493984e+00
3.167393685457999819e-01 1.676112971073788760e+00
3.177183827725900134e-01 1.676140773630156788e+00
3.186973572099600083e-01 1.676168489522908311e+00
3.196762922202400214e-01 1.676196119297320708e+00
3.206551881554399741e-01 1.676223663493315863e+00
3.216340453708799729e-01 1.676251122645910030e+00
3.226128642117400136e-01 1.676278497284898306e+00
3.235916450265799993e-01 1.676305787935294056e+00
3.245703881547700176e-01 1.676332995117040925e+00
3.255490939357300051e-01 1.676360119345329469e+00
3.265277627047900033e-01 1.676387161130540093e+00
3.275063947941300180e-01 1.676414120978329647e+00
3.284849905319299768e-01 1.676440999389663178e+00
3.294635502465499965e-01 1.676467796860987347e+00
3.304420742582899750e-01 1.676494513884057014e+00
3.314205628877400223e-01 1.676521150946222116e+00
3.323990164516800183e-01 1.676547708530367053e+00
3.333774352629800264e-01 1.676574187114962644e+00
3.343558196350699951e-01 1.676600587174237322e+00
3.353341698733899867e-01 1.676626909178000613e+00
3.363124862838199891e-01 1.676653153591918466e+00
3.372907691686499732e-01 1.676679320877456414e+00
3.382690188273300147e-01 1.676705411491947961e+00
3.392472355565799846e-01 1.676731425888647209e+00
3.402254196504099770e-01 1.676757364516774818e+00
3.412035713991800057e-01 1.676783227821543321e+00
3.421816910941199996e-01 1.676809016244319883e+00
3.431597790186500241e-01 1.676834730222444891e+00
3.441378354570099884e-01 1.676860370189503735e+00
3.451158606900099901e-01 1.676885936575259084e+00
3.460938549959199917e-01 1.676911429805718612e+00
3.470718186496800084e-01 1.676936850303156090e+00
3.480497519262999995e-01 1.676962198486243949e+00
3.490276550957099877e-01 1.676987474769960018e+00
3.500055284271900158e-01 1.677012679565744069e+00
3.509833721851000066e-01 1.677037813281428535e+00
3.519611866330200067e-01 1.677062876321383955e+00
3.529389720348399817e-01 1.677087869086588023e+00
3.539167286470299989e-01 1.677112791974464612e+00
3.548944567270799766e-01 1.677137645379139341e+00
3.558721565295199785e-01 1.677162429691375189e+00
3.568498283064699961e-01 1.677187145298623339e+00
3.578274723079900022e-01 1.677211792585070249e+00
3.588050887810300127e-01 1.677236371931645209e+00
3.597826779738099723e-01 1.677260883716168438e+00
3.607602401272499981e-01 1.677285328313168788e+00
3.617377754836400006e-01 1.677309706094138209e+00
3.627152842822899959e-01 1.677334017427455359e+00
3.636927667604599734e-01 1.677358262678443124e+00
3.646702231533400229e-01 1.677382442209401692e+00
3.656476536941100086e-01 1.677406556379642533e+00
3.666250586131200029e-01 1.677430605545500608e+00
3.676024381422000054e-01 1.677454590060471817e+00
3.685797925050799950e-01 1.677478510275010271e+00
3.695571219306200139e-01 1.677502366536883116e+00
3.705344266395900199e-01 1.677526159190877664e+00
3.715117068544199763e-01 1.677549888579069393e+00
3.724889627938899883e-01 1.677573555040723363e+00
3.734661946784300079e-01 1.677597158912451425e+00
3.744434027205200133e-01 1.677620700528008824e+00
3.754205871377899739e-01 1.677644180218639924e+00
3.763977481400799796e-01 1.677667598312793329e+00
3.773748859387999754e-01 1.677690955136376560e+00
3.783520007428399778e-01 1.677714251012683899e+00
3.793290927593199746e-01 1.677737486262442346e+00
3.803061621928000013e-01 1.677760661203819614e+00
3.812832092495500036e-01 1.677783776152550699e+00
3.822602341281600147e-01 1.677806831421742917e+00
3.832372370316299848e-01 1.677829827322187439e+00
3.842142181586700178e-01 1.677852764162177435e+00
3.851911777046699847e-01 1.677875642247558918e+00
3.861681158650799861e-01 1.677898461881832448e+00
3.871450328364600124e-01 1.677921223366203973e+00
3.881219288084999941e-01 1.677943926999420299e+00
3.890988039728799919e-01 1.677966573078001566e+00
3.900756585187800107e-01 1.677989161896158432e+00
3.910524926339499774e-01 1.678011693745842470e+00
3.920293065045200032e-01 1.678034168916761493e+00
3.930061003152400256e-01 1.678056587696410196e+00
3.939828742493100000e-01 1.678078950370087696e+00
3.949596284876399910e-01 1.678101257220902198e+00
3.959363632130700195e-01 1.678123508529889785e+00
3.969130786019199886e-01 1.678145704575842334e+00
3.978897748324700112e-01 1.678167845635523125e+00
3.988664520798900215e-01 1.678189931983571137e+00
3.998431105214900194e-01 1.678211963892641823e+00
4.008197503278799756e-01 1.678233941633225701e+00
4.017963716718400136e-01 1.678255865473871511e+00
4.027729747239600089e-01 1.678277735681105831e+00
4.037495596534499964e-01 1.678299552519471272e+00
4.047261266282000114e-01 1.678321316251547568e+00
4.057026758147699863e-01 1.678343027137970456e+00
4.066792073785199801e-01 1.678364685437452986e+00
4.076557214825600184e-01 1.678386291406781972e+00
4.086322182913599832e-01 1.678407845300915247e+00
4.096086979663600136e-01 1.678429347372903502e+00
4.105851606661299891e-01 1.678450797873911160e+00
4.115616065505199872e-01 1.678472197053326731e+00
4.125380357764000250e-01 1.678493545158685984e+00
4.135144485029800254e-01 1.678514842435805843e+00
4.144908448821499891e-01 1.678536089128589648e+00
4.154672250715299997e-01 1.678557285479331362e+00
4.164435892216100110e-01 1.678578431728448894e+00
4.174199374850099953e-01 1.678599528114704365e+00
4.183962700125100076e-01 1.678620574875133498e+00
4.193725869527399897e-01 1.678641572245055169e+00
4.203488884567400108e-01 1.678662520458184648e+00
4.213251746692299737e-01 1.678683419746463956e+00
4.223014457372599728e-01 1.678704270340260374e+00
4.232777018050499773e-01 1.678725072468273405e+00
4.242539430192500127e-01 1.678745826357661119e+00
4.252301695201899934e-01 1.678766532233869180e+00
4.262063814497000225e-01 1.678787190320811806e+00
4.271825789503900239e-01 1.678807800840871778e+00
4.281587621619600270e-01 1.678828364014835373e+00
4.291349312214700062e-01 1.678848880061913906e+00
4.301110862665900036e-01 1.678869349199826111e+00
4.310872274365900036e-01 1.678889771644832329e+00
4.320633548646299893e-01 1.678910147611586412e+00
4.330394686861699927e-01 1.678930477313326675e+00
4.340155690349399853e-01 1.678950760961804400e+00
4.349916560436600244e-01 1.678970998767312262e+00
4.359677298431999803e-01 1.678991190938680100e+00
4.369437905669700251e-01 1.679011337683379068e+00
4.379198383421299967e-01 1.679031439207352427e+00
4.388958732985099864e-01 1.679051495715213171e+00
4.398718955640300021e-01 1.679071507410161646e+00
4.408479052657099939e-01 1.679091474494019076e+00
4.418239025288400179e-01 1.679111397167222242e+00
4.427998874811500118e-01 1.679131275628922060e+00
4.437758602443400147e-01 1.679151110076821940e+00
4.447518209419000224e-01 1.679170900707349645e+00
4.457277696979899950e-01 1.679190647715645301e+00
4.467037066334200168e-01 1.679210351295492343e+00
4.476796318698300081e-01 1.679230011639413656e+00
4.486555455254400138e-01 1.679249628938596306e+00
4.496314477192600023e-01 1.679269203382989017e+00
4.506073385721000024e-01 1.679288735161332591e+00
4.515832181987800009e-01 1.679308224461014465e+00
4.525590867158499897e-01 1.679327671468235250e+00
4.535349442415699817e-01 1.679347076368017833e+00
4.545107908883400105e-01 1.679366439344067929e+00
4.554866267702000204e-01 1.679385760578934406e+00
4.564624520030399757e-01 1.679405040254021708e+00
4.574382666967800048e-01 1.679424278549447536e+00
4.584140709632000266e-01 1.679443475644206929e+00
4.593898649157400205e-01 1.679462631716178711e+00
4.603656486620200106e-01 1.679481746941987153e+00
4.613414223123200042e-01 1.679500821497179386e+00
4.623171859752500112e-01 1.679519855556150798e+00
4.632929397587199905e-01 1.679538849292172564e+00
4.642686837698399849e-01 1.679557802877399864e+00
4.652444181150199864e-01 1.679576716482882537e+00
4.662201428999699915e-01 1.679595590278575745e+00
4.671958582287000228e-01 1.679614424433328645e+00
4.681715642080699902e-01 1.679633219114982090e+00
4.691472609389999993e-01 1.679651974490208088e+00
4.701229485251000040e-01 1.679670690724684556e+00
4.710986270676399967e-01 1.679689367983008053e+00
4.720742966705899768e-01 1.679708006428799028e+00
4.730499574312400091e-01 1.679726606224530183e+00
4.740256094521699826e-01 1.679745167531765393e+00
4.750012528327299810e-01 1.679763690511004048e+00
4.759768876698800000e-01 1.679782175321706594e+00
4.769525140624999993e-01 1.679800622122384013e+00
4.779281321070700250e-01 1.679819031070524771e+00
4.789037419027999953e-01 1.679837402322699180e+00
4.798793435424100196e-01 1.679855736034394864e+00
4.808549371246200188e-01 1.679874032360258118e+00
4.818305227416500025e-01 1.679892291453868092e+00
4.828061004884799945e-01 1.679910513467917976e+00
4.837816704586199723e-01 1.679928698554143951e+00
4.847572327441099782e-01 1.679946846863332066e+00
4.857327874396900058e-01 1.679964958545404397e+00
4.867083346344999728e-01 1.679983033749270938e+00
4.876838744203800258e-01 1.680001072622992586e+00
4.886594068878200026e-01 1.680019075313712307e+00
4.896349321266100230e-01 1.680037041967675560e+00
4.906104502251399935e-01 1.680054972730222973e+00
4.915859612746399931e-01 1.680072867745876941e+00
4.925614653597599757e-01 1.680090727158175090e+00
4.935369625713599828e-01 1.680108551109911419e+00
4.945124529938800251e-01 1.680126339742912922e+00
4.954879367144500169e-01 1.680144093198212119e+00
4.964634138189100154e-01 1.680161811615981327e+00
4.974388843915900082e-01 1.680179495135536216e+00
4.984143485197499723e-01 1.680197143895421519e+00
4.993898062849200237e-01 1.680214758033261813e+00
5.003652577715500538e-01 1.680232337685924726e+00
5.013407030618399762e-01 1.680249882989432786e+00
5.023161422399600173e-01 1.680267394079047127e+00
5.032915753878699494e-01 1.680284871089197773e+00
5.042670025853199789e-01 1.680302314153489851e+00
5.052424239140800299e-01 1.680319723404786636e+00
5.062178394545200355e-01 1.680337098975153376e+00
5.071932492857099684e-01 1.680354440995865728e+00
5.081686534894700458e-01 1.680371749597487474e+00
5.091440521421900511e-01 1.680389024909731299e+00
5.101194453230599724e-01 1.680406267061611114e+00
5.110948331090999774e-01 1.680423476181359677e+00
5.120702155801399869e-01 1.680440652396521184e+00
5.130455928097500395e-01 1.680457795833798729e+00
5.140209648776300488e-01 1.680474906619277675e+00
5.149963318571699755e-01 1.680491984878211387e+00
5.159716938245999529e-01 1.680509030735189313e+00
5.169470508548900112e-01 1.680526044314069267e+00
5.179224030216700303e-01 1.680543025737981644e+00
5.188977504014200548e-01 1.680559975129408468e+00
5.198730930643700177e-01 1.680576892610029960e+00
5.208484310868699563e-01 1.680593778300944807e+00
5.218237645390899626e-01 1.680610632322461440e+00
5.227990934940199841e-01 1.680627454794260789e+00
5.237744180225299973e-01 1.680644245835314576e+00
5.247497381983200482e-01 1.680661005563975463e+00
5.257250540897899782e-01 1.680677734097843823e+00
5.267003657681199602e-01 1.680694431553909851e+00
5.276756733032500479e-01 1.680711098048490948e+00
5.286509767638499779e-01 1.680727733697235049e+00
5.296262762214900555e-01 1.680744338615197231e+00
5.306015717423300249e-01 1.680760912916703154e+00
5.315768633954199851e-01 1.680777456715493834e+00
5.325521512486000031e-01 1.680793970124662806e+00
5.335274353692199822e-01 1.680810453256671000e+00
5.345027158234799680e-01 1.680826906223341188e+00
5.354779926803200363e-01 1.680843329135927933e+00
5.364532660027300226e-01 1.680859722104976139e+00
5.374285358588299921e-01 1.680876085240511797e+00
5.384038023131599848e-01 1.680892418651899423e+00
5.393790654315200328e-01 1.680908722447928882e+00
5.403543252768300276e-01 1.680924996736749888e+00
5.413295819140500065e-01 1.680941241625957705e+00
5.423048354069800459e-01 1.680957457222546081e+00
5.432800858189800186e-01 1.680973643632921233e+00
5.442553332122600507e-01 1.680989800962896519e+00
5.452305776518500124e-01 1.681005929317760383e+00
5.462058191975900368e-01 1.681022028802149126e+00
5.471810579121599849e-01 1.681038099520183682e+00
5.481562938570400112e-01 1.681054141575406558e+00
5.491315270933699866e-01 1.681070155070800265e+00
5.501067576818999827e-01 1.681086140108791094e+00
5.510819856822299911e-01 1.681102096791239342e+00
5.520572111567999540e-01 1.681118025219509260e+00
5.530324341628599649e-01 1.681133925494342707e+00
5.540076547605500279e-01 1.681149797715992378e+00
5.549828730080399453e-01 1.681165641984149417e+00
5.559580889655399982e-01 1.681181458398010031e+00
5.569333026913200202e-01 1.681197247056215982e+00
5.579085142417099519e-01 1.681213008056857694e+00
5.588837236742399961e-01 1.681228741497529100e+00
5.598589310485899695e-01 1.681244447475346515e+00
5.608339267988700083e-01 1.681260122719646644e+00
5.618091304233100436e-01 1.681275774069922013e+00
5.627843321597699733e-01 1.681291398245479796e+00
5.637595320629800177e-01 1.681306995341343313e+00
5.647347301888600013e-01 1.681322565452059603e+00
5.657099265927399978e-01 1.681338108671675879e+00
5.666851213294099576e-01 1.681353625093742865e+00
5.676603144535800061e-01 1.681369114811325893e+00
5.686355060194699940e-01 1.681384577917001355e+00
5.696106960810100039e-01 1.681400014502863360e+00
5.705858846919400484e-01 1.681415424660529068e+00
5.715610719055199684e-01 1.681430808481136685e+00
5.725362577743899895e-01 1.681446166055347469e+00
5.735114423524499960e-01 1.681461497473377475e+00
5.744866256909000324e-01 1.681476802824939387e+00
5.754618078419300176e-01 1.681492082199303129e+00
5.764369888583700252e-01 1.681507335685293647e+00
5.774121687907199929e-01 1.681522563371247614e+00
5.783873476901300048e-01 1.681537765345063384e+00
5.793625256086200048e-01 1.681552941694206771e+00
5.803377025956699686e-01 1.681568092505661527e+00
5.813128787019899990e-01 1.681583217865990854e+00
5.822880539777199882e-01 1.681598317861312530e+00
5.832632284720700167e-01 1.681613392577296473e+00
5.842384022354000228e-01 1.681628442099198706e+00
5.852135753168099530e-01 1.681643466511829166e+00
5.861887477641000155e-01 1.681658465899552146e+00
5.871639196273999994e-01 1.681673440346345583e+00
5.881390909539699896e-01 1.681688389935724226e+00
5.891142617921300007e-01 1.681703314750802702e+00
5.900894321898499939e-01 1.681718214874276640e+00
5.910646021945400452e-01 1.681733090388422225e+00
